Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,13,A,Gimnasia (J),0,0,Dep. Maipu,A
2,13,A,Guemes (SdE),0,0,Ferro,A
3,13,A,Alvarado,0,0,San Miguel,A
4,13,A,Racing (C),0,0,Quilmes,A
5,13,A,Patronato,0,0,Talleres (RdE),A
6,13,A,Tristan Suarez,0,0,Estudiantes (BA),A
7,13,A,All Boys,0,0,Chacarita,A
8,13,A,Agropecuario,0,0,San Martin (T),A
9,13,A,Brown (PM),0,0,Arsenal,A
10,13,B,Gimnasia (M),0,0,Gimnasia (S),B
11,13,B,Nueva Chicago,0,0,Mitre (SdE),B
12,13,B,Dep. Moron,0,0,Aldosivi,B
13,13,B,Temperley,0,0,Estudiantes (RC),B
14,13,B,Brown (A),0,0,Colon,B
15,13,B,Almagro,0,0,Alte Brown,B
16,13,B,Def. de Belgrano,0,0,Atlanta,B
17,13,B,Chaco For Ever,0,0,Def. Unidos,B
18,13,B,San Telmo,0,0,Dep. Madryn,B
19,13,A,San Martin (SJ),0,0,Atl Rafaela,B
